,symbol,sector,allocation
153,VSPMX,Materials,0.07
154,VSPMX,Real Estate,0.074
155,VSPMX,Utilities,0.035
156,VSPVX,Communication Services,0.102
157,VSPVX,Consumer Discretionary,0.111
158,VSPVX,Consumer Staples,0.069
159,VSPVX,Energy,0.017
160,VSPVX,Financials,0.192
161,VSPVX,Health Care,0.082
162,VSPVX,Industrials,0.119
163,VSPVX,Information Technology,0.186
164,VSPVX,Materials,0.031
165,VSPVX,Real Estate,0.042
166,VSPVX,Utilities,0.049
167,VSMAX,Basic Materials,0.038
168,VSMAX,Consumer Discretionary,0.158
169,VSMAX,Consumer Staples,0.036
170,VSMAX,Energy,0.066
171,VSMAX,Financials,0.138
172,VSMAX,Health Care,0.104
173,VSMAX,Industrials,0.218
174,VSMAX,Real Estate,0.071
175,VSMAX,Technology,0.126
176,VSMAX,Telecommunications,0.013
177,VSMAX,Utilities,0.032
178,VMNIX,Communication Services,0.039
179,VMNIX,Consumer Discretionary,0.11
180,VMNIX,Consumer Staples,0.048
181,VMNIX,Energy,0.061
182,VMNIX,Financials,0.157
183,VMNIX,Health Care,0.105
184,VMNIX,Industrials,0.189
185,VMNIX,Information Technology,0.123
186,VMNIX,Materials,0.061
187,VMNIX,Real Estate,0.077
188,VMNIX,Utilities,0.03
189,VEXPX,Communication Services,0.04
190,VEXPX,Consumer Discretionary,0.119
191,VEXPX,Consumer Staples,0.032
192,VEXPX,Energy,0.053
193,VEXPX,Financials,0.106
194,VEXPX,Health Care,0.189
195,VEXPX,Industrials,0.223
196,VEXPX,Information Technology,0.167
197,VEXPX,Materials,0.032
198,VEXPX,Real Estate,0.029
199,VEXPX,Utilities,0.01
200,VMIAX,Aluminum,0.005
201,VMIAX,Commodity Chemicals,0.071
202,VMIAX,Construction Materials,0.058
203,VMIAX,Copper,0.044
204,VMIAX,Diversified Chemicals,0.007
205,VMIAX,Diversified Metals & Mining,0.005
206,VMIAX,Fertilizers & Agricultural Chemicals,0.063
207,VMIAX,Forest Products,0.003
208,VMIAX,Gold,0.046
209,VMIAX,Industrial Gases,0.228
210,VMIAX,"Metal, Glass & Plastic Containers",0.044
211,VMIAX,Paper & Plastic Packaging Products & Materials,0.071
212,VMIAX,Paper Products,0.002
213,VMIAX,Silver,0.002
214,VMIAX,Specialty Chemicals,0.249
215,VMIAX,Steel,0.1
216,VWNFX,Communication Services,0.076
217,VWNFX,Consumer Discretionary,0.082
218,VWNFX,Consumer Staples,0.068
219,VWNFX,Energy,0.074
220,VWNFX,Financials,0.18
221,VWNFX,Health Care,0.16
222,VWNFX,Industrials,0.096
223,VWNFX,Information Technology,0.207
224,VWNFX,Materials,0.029
225,VWNFX,Real Estate,0.014
226,VWNFX,Utilities,0.014
227,VWENX,Communication Services,0.084
228,VWENX,Consumer Discretionary,0.105
229,VWENX,Consumer Staples,0.061
230,VWENX,Energy,0.076
231,VWENX,Financials,0.123
232,VWENX,Health Care,0.166
233,VWENX,Industrials,0.085
234,VWENX,Information Technology,0.222
235,VWENX,Materials,0.028
236,VWENX,Real Estate,0.015
237,VWENX,Utilities,0.035
238,VFMO,Basic Materials,0.021
239,VFMO,Consumer Discretionary,0.18
240,VFMO,Consumer Staples,0.023
241,VFMO,Energy,0.064
242,VFMO,Financials,0.074
243,VFMO,Health Care,0.101
244,VFMO,Industrials,0.238
245,VFMO,Real Estate,0.007
246,VFMO,Technology,0.268
247,VFMO,Telecommunications,0.021
248,VFMO,Utilities,0.003
249,VFH,Asset Management & Custody Banks,0.074
250,VFH,Commercial & Residential Mortgage Financ,0.005
251,VFH,Consumer Finance,0.039
252,VFH,Diversified Banks,0.187
253,VFH,Diversified Financial Services,0.01
254,VFH,Financial Exchanges & Data,0.084
255,VFH,Insurance Brokers,0.05
