,symbol,fund_return_ytd,average_annual_fund_return_for_1_year,average_annual_fund_return_for_3_year,average_annual_fund_return_for_5_year,average_annual_fund_return_for_10_year,average_annual_fund_return_since_inception,benchmark_return_ytd,average_annual_benchmark_return_for_1_year,average_annual_benchmark_return_for_3_year,average_annual_benchmark_return_for_5_year,average_annual_benchmark_return_for_10_year,average_annual_benchmark_return_since_inception
202,VCADX,0.0345,0.0376,-0.0073,0.0196,0.0258,0.0338,0.0276,0.0344,-0.0101,0.0177,0.0223,0.036
203,VMFGX,0.0931,0.0273,0.0384,0.0763,0.0855,0.0952,0.0939,0.028,0.039,0.0771,0.0862,0.0958
204,VVIAX,0.0404,0.0053,0.1011,0.085,0.0941,0.0698,0.0396,0.0047,0.1012,0.085,0.0944,0.07
205,VCR,0.3106,0.1677,0.0375,0.1281,0.1182,0.1046,0.3109,0.1678,0.0382,0.1288,0.1191,0.1057
206,VFSIX,0.0432,0.0444,-0.0053,0.0194,0.0178,0.0356,0.0406,0.0417,-0.0065,0.0203,0.0179,0.0394
207,VEMIX,0.057,0.0352,-0.0241,0.034,0.0258,0.0625,0.0578,0.0487,-0.0211,0.0368,0.0265,0.0639
208,VBLIX,-0.007,-0.0257,-0.1108,0.0025,0.0237,0.0222,-0.0072,-0.0209,-0.1103,0.0032,0.0238,0.0221
209,VSMSX,0.0283,-0.0407,0.0577,0.0561,0.075,0.0938,0.0289,-0.0402,0.0585,0.0563,0.0751,0.0941
210,VFTAX,0.2563,0.1742,0.0822,,,0.1355,0.2573,0.1752,0.0835,0.1286,0.1238,0.1369
211,MGV,0.0436,0.0116,0.1041,0.0873,0.0964,0.0765,0.0426,0.0103,0.1045,0.0876,0.097,0.077
212,VMATX,0.0418,0.0382,-0.0152,0.0216,0.0294,0.0381,0.0324,0.0344,-0.014,0.0176,0.0249,
213,VCMDX,-0.0567,-0.0753,0.1547,,,0.1076,-0.0537,-0.0768,0.136,0.0629,-0.0072,0.076
214,VTHRX,0.109,0.0724,0.0227,0.0635,0.0627,0.0632,0.111,0.0803,0.0261,0.0681,0.066,0.0657
215,VFIIX,0.0094,0.0022,-0.0367,-0.0014,0.0093,0.0619,0.0117,0.0039,-0.0376,-0.0011,0.0088,0.0644
